category,crime_count,time
Violence  'Other' (Non-domestic),170,May 2021
Violence  'Other' (Non-domestic),191,Jun 2021
Violence  'Other' (Non-domestic),186,Jul 2021
Violence  'Other' (Non-domestic),199,Aug 2021
Violence  'Other' (Non-domestic),225,Sep 2021
Violence  'Other' (Non-domestic),190,Oct 2021
Violence  'Other' (Non-domestic),205,Nov 2021
Violence  'Other' (Non-domestic),191,Dec 2021
Violence  'Other' (Non-domestic),146,Jan 2022
Violence  'Other' (Non-domestic),180,Feb 2022
Violence  'Other' (Non-domestic),177,Mar 2022
Violence  'Other' (Non-domestic),173,Apr 2022
Violence  'Other' (Non-domestic),174,May 2022
Violence  'Other' (Non-domestic),163,Jun 2022
Violence  'Other' (Non-domestic),219,Jul 2022
Violence  'Other' (Non-domestic),160,Aug 2022
Violence  'Other' (Non-domestic),186,Sep 2022
Violence  'Other' (Non-domestic),213,Oct 2022
Violence  'Other' (Non-domestic),165,Nov 2022
Violence  'Other' (Non-domestic),182,Dec 2022
Violence  'Other' (Non-domestic),180,Jan 2023
Violence  'Other' (Non-domestic),175,Feb 2023
Violence  'Other' (Non-domestic),198,Mar 2023
Violence  'Other' (Non-domestic),198,Apr 2023
Violence  'Other' (Non-domestic),247,May 2023
Violence  'Other' (Non-domestic),207,Jun 2023
Violence  'Other' (Non-domestic),216,Jul 2023
Violence  'Other' (Non-domestic),205,Aug 2023
Violence  'Other' (Non-domestic),185,Sep 2023
Violence  'Other' (Non-domestic),179,Oct 2023
Violence  'Other' (Non-domestic),172,Nov 2023
Violence  'Other' (Non-domestic),156,Dec 2023
Violence  'Other' (Non-domestic),192,Jan 2024
Violence  'Other' (Non-domestic),149,Feb 2024
Violence  'Other' (Non-domestic),171,Mar 2024
Violence  'Other' (Non-domestic),182,Apr 2024
Violence  'Other' (Non-domestic),194,May 2024
Violence  'Other' (Non-domestic),170,Jun 2024
Violence  'Other' (Non-domestic),189,Jul 2024
Violence  'Other' (Non-domestic),173,Aug 2024
Violence  'Other' (Non-domestic),190,Sep 2024
